date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:58	4058/4058	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/noUiSlider/nouislider.min.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/noUiSlider/nouislider.min.css	(from https://designreset.com/cork/ltr/demo3/form_date_range_picker.html)
15:45:58	1165/1165	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/noUiSlider/custom-nouiSlider.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/noUiSlider/custom-nouiSlider.css	(from https://designreset.com/cork/ltr/demo3/form_date_range_picker.html)
15:45:58	1532/1532	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/plugins/bootstrap-range-Slider/bootstrap-slider.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/bootstrap-range-Slider/bootstrap-slider.css	(from https://designreset.com/cork/ltr/demo3/form_date_range_picker.html)
15:45:58	269308/269308	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/plugins/editors/markdown/simplemde.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/editors/markdown/simplemde.min.js	(from https://designreset.com/cork/ltr/demo3/form_markdown.html)
15:45:59	23457/23457	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/noUiSlider/nouislider.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/noUiSlider/nouislider.min.js	(from https://designreset.com/cork/ltr/demo3/form_date_range_picker.html)
15:45:59	452/452	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/plugins/flatpickr/custom-flatpickr.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/flatpickr/custom-flatpickr.js	(from https://designreset.com/cork/ltr/demo3/form_date_range_picker.html)
15:45:59	4249/4249	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/noUiSlider/custom-nouiSlider.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/noUiSlider/custom-nouiSlider.js	(from https://designreset.com/cork/ltr/demo3/form_date_range_picker.html)
15:45:59	671/671	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/plugins/bootstrap-range-Slider/bootstrap-rangeSlider.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/bootstrap-range-Slider/bootstrap-rangeSlider.js	(from https://designreset.com/cork/ltr/demo3/form_date_range_picker.html)
15:46:00	353/353	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/css/forms/custom-clipboard.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/css/forms/custom-clipboard.css	(from https://designreset.com/cork/ltr/demo3/form_clipboard.html)
15:46:00	10599/10599	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/js/clipboard/clipboard.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/js/clipboard/clipboard.min.js	(from https://designreset.com/cork/ltr/demo3/form_clipboard.html)
15:46:00	38/38	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/js/forms/custom-clipboard.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/js/forms/custom-clipboard.js	(from https://designreset.com/cork/ltr/demo3/form_clipboard.html)
15:46:00	1444/1444	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/plugins/autocomplete/autocomplete.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/autocomplete/autocomplete.css	(from https://designreset.com/cork/ltr/demo3/form_typeahead.html)
